Tick ,Customer ID,State
455,3,Null Transaction
455,2,Buy
455,1,Null Transaction
462,4,Null Transaction
462,3,Null Transaction
462,2,Buy
462,1,Null Transaction
466,4,Null Transaction
466,3,Null Transaction
466,2,Null Transaction
466,1,Buy
466,4,Null Transaction
466,3,Null Transaction
466,2,Null Transaction
466,1,Null Transaction
460,4,Null Transaction
460,3,Buy
460,2,Buy
460,1,Null Transaction
465,4,Null Transaction
465,3,Null Transaction
465,2,Buy
465,1,Null Transaction
463,4,Null Transaction
463,3,Buy
463,2,Null Transaction
463,1,Null Transaction
469,4,Null Transaction
469,3,Null Transaction
469,2,Null Transaction
469,1,Null Transaction
472,4,Null Transaction
472,3,Null Transaction
472,2,Null Transaction
472,1,Null Transaction
472,4,Null Transaction
472,3,Null Transaction
472,2,Buy
472,1,Buy
471,4,Null Transaction
471,3,Buy
471,2,Null Transaction
471,1,Null Transaction
473,4,Buy
473,3,Null Transaction
473,2,Buy
473,1,Null Transaction
474,4,Buy
474,3,Null Transaction
474,2,Null Transaction
474,1,Null Transaction
472,4,Null Transaction
472,3,Buy
472,2,Buy
472,1,Null Transaction
477,4,Buy
477,3,Null Transaction
477,2,Buy
477,1,Null Transaction
478,4,Null Transaction
478,3,Null Transaction
478,2,Null Transaction
478,1,Null Transaction
476,4,Null Transaction
476,3,Buy
476,2,Null Transaction
476,1,Buy
474,4,Null Transaction
474,3,Null Transaction
474,2,Null Transaction
474,1,Null Transaction
477,4,Null Transaction
477,3,Null Transaction
477,2,Null Transaction
477,1,Buy
479,4,Buy
479,3,Null Transaction
479,2,Null Transaction
479,1,Buy
477,4,Buy
477,3,Null Transaction
477,2,Null Transaction
477,1,Null Transaction
478,4,Buy
478,3,Buy
478,2,Null Transaction
478,1,Null Transaction
480,4,Null Transaction
480,3,Null Transaction
480,2,Buy
480,1,Null Transaction
478,4,Null Transaction
478,3,Null Transaction
478,2,Null Transaction
478,1,Null Transaction
486,4,Null Transaction
486,3,Buy
486,2,Null Transaction
486,1,Null Transaction
487,4,Null Transaction
487,3,Buy
487,2,Null Transaction
487,1,Null Transaction
483,4,Null Transaction
483,3,Null Transaction
483,2,Null Transaction
483,1,Null Transaction
483,4,Buy
483,3,Buy
483,2,Buy
483,1,Null Transaction
489,4,Buy
489,3,Null Transaction
489,2,Buy
489,1,Buy
486,4,Null Transaction
486,3,Buy
486,2,Null Transaction
486,1,Null Transaction
486,4,Null Transaction
486,3,Null Transaction
486,2,Null Transaction
486,1,Buy
486,4,Null Transaction
486,3,Buy
486,2,Null Transaction
486,1,Null Transaction
491,4,Null Transaction
491,3,Null Transaction
491,2,Null Transaction
491,1,Buy
491,4,Null Transaction
