Tick ,Customer ID,Transaction Status,With
1336,2,Invalid Transaction,-->1336
1336,1,Invalid Transaction,-->1336
1337,4,Invalid Transaction,-->1337
1337,3,Invalid Transaction,-->1337
1337,2,Invalid Transaction,-->1337
1337,1,Invalid Transaction,-->1337
1338,4,Invalid Transaction,-->1338
1338,3,Invalid Transaction,-->1338
1338,2,Invalid Transaction,-->1338
1338,1,Invalid Transaction,-->1338
1339,4,Invalid Transaction,-->1339
1339,3,Invalid Transaction,-->1339
1339,2,Invalid Transaction,-->1339
1339,1,Invalid Transaction,-->1339
1340,4,Invalid Transaction,-->1340
1340,3,Invalid Transaction,-->1340
1340,2,Invalid Transaction,-->1340
1340,1,Invalid Transaction,-->1340
1341,4,Invalid Transaction,-->1341
1341,3,Invalid Transaction,-->1341
1341,2,Invalid Transaction,-->1341
1341,1,Invalid Transaction,-->1341
1342,4,Invalid Transaction,-->1342
1342,3,Invalid Transaction,-->1342
1342,2,Invalid Transaction,-->1342
1342,1,Invalid Transaction,-->1342
1343,4,Invalid Transaction,-->1343
1343,3,Invalid Transaction,-->1343
1343,2,Invalid Transaction,-->1343
1343,1,Invalid Transaction,-->1343
1344,4,Invalid Transaction,-->1344
1344,3,Invalid Transaction,-->1344
1344,2,Invalid Transaction,-->1344
1344,1,Invalid Transaction,-->1344
1345,4,Invalid Transaction,-->1345
1345,3,Invalid Transaction,-->1345
1345,2,Invalid Transaction,-->1345
1345,1,Invalid Transaction,-->1345
1346,4,Invalid Transaction,-->1346
1346,3,Invalid Transaction,-->1346
1346,2,Invalid Transaction,-->1346
1346,1,Invalid Transaction,-->1346
1347,4,Invalid Transaction,-->1347
1347,3,Invalid Transaction,-->1347
1347,2,Invalid Transaction,-->1347
1347,1,Invalid Transaction,-->1347
1348,4,Invalid Transaction,-->1348
1348,3,Invalid Transaction,-->1348
1348,2,Invalid Transaction,-->1348
1348,1,Invalid Transaction,-->1348
1349,4,Invalid Transaction,-->1349
1349,3,Invalid Transaction,-->1349
1349,2,Invalid Transaction,-->1349
1349,1,Invalid Transaction,-->1349
1350,4,Invalid Transaction,-->1350
1350,3,Invalid Transaction,-->1350
1350,2,Invalid Transaction,-->1350
1350,1,Invalid Transaction,-->1350
1351,4,Invalid Transaction,-->1351
1351,3,Invalid Transaction,-->1351
1351,2,Invalid Transaction,-->1351
1351,1,Invalid Transaction,-->1351
1352,4,Invalid Transaction,-->1352
1352,3,Invalid Transaction,-->1352
1352,2,Invalid Transaction,-->1352
1352,1,Invalid Transaction,-->1352
1353,4,Invalid Transaction,-->1353
1353,3,Invalid Transaction,-->1353
1353,2,Invalid Transaction,-->1353
1353,1,Invalid Transaction,-->1353
1354,4,Invalid Transaction,-->1354
1354,3,Invalid Transaction,-->1354
1354,2,Invalid Transaction,-->1354
1354,1,Invalid Transaction,-->1354
1355,4,Invalid Transaction,-->1355
1355,3,Invalid Transaction,-->1355
1355,2,Invalid Transaction,-->1355
1355,1,Invalid Transaction,-->1355
1356,4,Invalid Transaction,-->1356
1356,3,Invalid Transaction,-->1356
1356,2,Invalid Transaction,-->1356
1356,1,Invalid Transaction,-->1356
1357,4,Invalid Transaction,-->1357
1357,3,Invalid Transaction,-->1357
1357,2,Invalid Transaction,-->1357
1357,1,Invalid Transaction,-->1357
1358,4,Invalid Transaction,-->1358
1358,3,Invalid Transaction,-->1358
1358,2,Invalid Transaction,-->1358
1358,1,Invalid Transaction,-->1358
1359,4,Invalid Transaction,-->1359
1359,3,Invalid Transaction,-->1359
1359,2,Invalid Transaction,-->1359
1359,1,Invalid Transaction,-->1359
1360,4,Invalid Transaction,-->1360
1360,3,Invalid Transaction,-->1360
1360,2,Invalid Transaction,-->1360
1360,1,Invalid Transaction,-->1360
1361,4,Invalid Transaction,-->1361
1361,3,Invalid Transaction,-->1361
1361,2,Invalid Transaction,-->1361
1361,1,Invalid Transaction,-->1361
1362,4,Invalid Transaction,-->1362
1362,3,Invalid Transaction,-->1362
1362,2,Invalid Transaction,-->1362
1362,1,Invalid Transaction,-->1362
1363,4,Invalid Transaction,-->1363
1363,3,Invalid Transaction,-->1363
1363,2,Invalid Transaction,-->1363
1363,1,Invalid Transaction,-->1363
1364,4,Invalid Transaction,-->1364
1364,3,Invalid Transaction,-->1364
1364,2,Invalid Transaction,-->1364
1364,1,Invalid Transaction,-->1364
1365,4,Invalid Transaction,-->1365
1365,3,Invalid Transaction,-->1365
1365,2,Invalid Transaction,-->1365
1365,1,Invalid Transaction,-->1365
1366,4,Invalid Transaction,-->1366
1366,3,Invalid Transaction,-->1366
1366,2,Invalid Transaction,-->1366
1366,1,Invalid Transaction,-->1366
1367,4,Invalid Transaction,-->1367
1367,3,Invalid Transaction,-->1367
1367,2,Invalid Transaction,-->1367
1367,1,Invalid Transaction,-->1367
1368,4,Invalid Transaction,-->1368
1368,3,Invalid Transaction,-->1368
1368,2,Invalid Transaction,-->1368
1368,1,Invalid Transaction,-->1368
1369,4,Invalid Transaction,-->1369
1369,3,Invalid Transaction,-->1369
1369,2,Invalid Transaction,-->1369
1369,1,Invalid Transaction,-->1369
1370,4,Invalid Transaction,-->1370
1370,3,Invalid Transaction,-->1370
1370,2,Invalid Transaction,-->1370
1370,1,Invalid Transaction,-->1370
1371,4,Invalid Transaction,-->1371
1371,3,Invalid Transaction,-->1371
1371,2,Invalid Transaction,-->1371
1371,1,Invalid Transaction,-->1371
1372,4,Invalid Transaction,-->1372
1372,3,Invalid Transaction,-->1372
1372,2,Invalid Transaction,-->1372
1372,1,Invalid Transaction,-->1372
1373,4,Invalid Transaction,-->1373
1373,3,Invalid Transaction,-->1373
1373,2,Invalid Transaction,-->1373
1373,1,Invalid Transaction,-->1373
1374,4,Invalid Transaction,-->1374
1374,3,Invalid Transaction,-->1374
1374,2,Invalid Transaction,-->1374
1374,1,Invalid Transaction,-->1374
1375,4,Invalid Transaction,-->1375
1375,3,Invalid Transaction,-->1375
1375,2,Invalid Transaction,-->1375
1375,1,Invalid Transaction,-->1375
1376,4,Invalid Transaction,-->1376
1376,3,Invalid Transaction,-->1376
1376,2,Invalid Transaction,-->1376
1376,1,Invalid Transaction,-->1376
1377,4,Invalid Transaction,-->1377
1377,3,Invalid Transaction,-->1377
1377,2,Invalid Transaction,-->1377
1377,1,Invalid Transaction,-->1377
1378,4,Invalid Transaction,-->1378
1378,3,Invalid Transaction,-->1378
1378,2,Invalid Transaction,-->1378
1378,1,Invalid Transaction,-->1378
1379,4,Invalid Transaction,-->1379
1379,3,Invalid Transaction,-->1379
1379,2,Invalid Transaction,-->1379
1379,1,Invalid Transaction,-->1379
1380,4,Invalid Transaction,-->1380
1380,3,Invalid Transaction,-->1380
1380,2,Invalid Transaction,-->1380
1380,1,Invalid Transaction,-->1380
1381,4,Invalid Transaction,-->1381
1381,3,Invalid Transaction,-->1381
1381,2,Invalid Transaction,-->1381
1381,1,Invalid Transaction,-->1381
1382,4,Invalid Transaction,-->1382
1382,3,Invalid Transaction,-->1382
1382,2,Invalid Transaction,-->1382
1382,1,Invalid Transaction,-->1382
1383,4,Invalid Transaction,-->1383
1383,3,Invalid Transaction,-->1383
1383,2,Invalid Transaction,-->1383
1383,1,Invalid Transaction,-->1383
1384,4,Invalid Transaction,-->1384
1384,3,Invalid Transaction,-->1384
1384,2,Invalid Transaction,-->1384
1384,1,Invalid Transaction,-->1384
1385,4,Invalid Transaction,-->1385
1385,3,Invalid Transaction,-->1385
1385,2,Invalid Transaction,-->1385
1385,1,Invalid Transaction,-->1385
1386,4,Invalid Transaction,-->1386
1386,3,Invalid Transaction,-->1386
1386,2,Invalid Transaction,-->1386
1386,1,Invalid Transaction,-->1386
1387,4,Invalid Transaction,-->1387
1387,3,Invalid Transaction,-->1387
1387,2,Invalid Transaction,-->1387
1387,1,Invalid Transaction,-->1387
1388,4,Invalid Transaction,-->1388
1388,3,Invalid Transaction,-->1388
1388,2,Invalid Transaction,-->1388
1388,1,Invalid Transaction,-->1388
1389,4,Invalid Transaction,-->1389
1389,3,Invalid Transaction,-->1389
1389,2,Invalid Transaction,-->1389
1389,1,Invalid Transaction,-->1389
1390,4,Invalid Transaction,-->1390
1390,3,Invalid Transaction,-->1390
1390,2,Invalid Transaction,-->1390
1390,1,Invalid Transaction,-->1390
1391,4,Invalid Transaction,-->1391
1391,3,Invalid Transaction,-->1391
1391,2,Invalid Transaction,-->1391
1391,1,Invalid Transaction,-->1391
1392,4,Invalid Transaction,-->1392
1392,3,Invalid Transaction,-->1392
1392,2,Invalid Transaction,-->1392
1392,1,Invalid Transaction,-->1392
1393,4,Invalid Transaction,-->1393
1393,3,Invalid Transaction,-->1393
1393,2,Invalid Transaction,-->1393
1393,1,Invalid Transaction,-->1393
1394,4,Invalid Transaction,-->1394
1394,3,Invalid Transaction,-->1394
1394,2,Invalid Transaction,-->1394
1394,1,Invalid Transaction,-->1394
1395,4,Invalid Transaction,-->1395
1395,3,Invalid Transaction,-->1395
1395,2,Invalid Transaction,-->1395
1395,1,Invalid Transaction,-->1395
1396,4,Invalid Transaction,-->1396
1396,3,Invalid Transaction,-->1396
1396,2,Invalid Transaction,-->1396
1396,1,Invalid Transaction,-->1396
1397,4,Invalid Transaction,-->1397
1397,3,Invalid Transaction,-->1397
1397,2,Invalid Transaction,-->1397
1397,1,Invalid Transaction,-->1397
1398,4,Invalid Transaction,-->1398
1398,3,Invalid Transaction,-->1398
1398,2,Invalid Transaction,-->1398
1398,1,Invalid Transaction,-->1398
1399,4,Invalid Transaction,-->1399
1399,3,Invalid Transaction,-->1399
1399,2,Invalid Transaction,-->1399
1399,1,Invalid Transaction,-->1399
1400,4,Invalid Transaction,-->1400
1400,3,Invalid Transaction,-->1400
1400,2,Invalid Transaction,-->1400
1400,1,Invalid Transaction,-->1400
1401,4,Invalid Transaction,-->1401
1401,3,Invalid Transaction,-->1401
1401,2,Invalid Transaction,-->1401
1401,1,Invalid Transaction,-->1401
1402,4,Invalid Transaction,-->1402
1402,3,Invalid Transaction,-->1402
1402,2,Invalid Transaction,-->1402
1402,1,Invalid Transaction,-->1402
1403,4,Invalid Transaction,-->1403
1403,3,Invalid Transaction,-->1403
